X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,lat,long
29542.7049,32678.9655,50011,B03,OPP PARISH OF CHRIST CH,1.283447889,103.8753609
18641.50384,38427.13223,43659,B01,ST ANTHONY'S PR SCH,1.184859967,103.927007
32716.8539,36256.637,62099,B07,CLASSICAL TERR,1.312153017,103.9075085
15178.38,35444.6495,21209,B08,OPP SIME RENGO PACKAGING LTD,1.153541466,103.9002085
21565.1746,47016.1167,46709,B03,AFT BLK 1,1.211296811,104.0041809
23807.523,47254.2775,46831,B03,BLK 747A CP,1.231575603,104.0063221
38386.8691,35012.3335,84409,B05,BLK 550,1.3634309,103.8963291
38213.9296,33910.1631,84029,B04,OPP BLK 32,1.361867138,103.8864254
29837.8047,30566.3225,4149,B01,GRAND PLAZA PARKROYAL,1.286116911,103.856378
30646.1142,35394.1568,52429,B01,BLK 17A,1.293426208,103.8997582
20355.0461,31889.9557,17049,B08,BLK 601,1.200358022,103.8682703
17719.3091,40582.6234,44499,B04,BLK 429A CP,1.176519244,103.9463738
21460.5809,43598.7813,48011,B22,OPP MANDAI CAMP 2,1.210352678,103.9734757
18153.14918,34435.99751,28221,B07,OPP INTL BUSINESS PK,1.180444444,103.8911463
25077.41764,30592.44636,11131,B11,QUEENS CONDO,1.243065635,103.8566124
33677.2711,41382.6554,67321,B01A,BLK 311A,1.32083687,103.9535687
24647.7964,31325.2568,11471,B12,OPP THE FISHERMAN CH,1.239180224,103.8631968
26486.6277,31649.9569,13041,B04,AFT ROCHALIE DR,1.255809936,103.8661145
11663.5176,33921.2289,23029,B21,STAMFORD TYRE,1.121754553,103.88652
16339.5635,37346.881,28141,B07,AFT TRACK 22,1.164042345,103.9173002
28768.0088,32709.2622,40031,B07,NEWTON FC,1.276441806,103.875633
24248.6947,47483.8545,46791,B03,BLK 722,1.235565253,104.0083852
29534.2721,36566.9089,53211,B02,OPP RAFFLES INST,1.283370808,103.9102956
28733.9225,45996.1004,59179,B01,BLK 241,1.276128778,103.9950199
28810.0739,40588.3771,55159,B06,OPP ANG MO KIO COMM HOSP,1.276820075,103.9464297
31523.3915,31721.8669,1429,B12,GOLDEN MILE CPLX,1.301360647,103.8667612
22371.8444,46510.8491,46299,B08,OPP BLK 106,1.218592307,103.9996415
18956.4148,36326.4789,43591,B05,OPP BT VIEW SEC SCH,1.187708488,103.9081326
27465.466,39859.6267,56039,B24,AFT YIO CHU KANG RD,1.264660214,103.9398811
28499.0294,45765.7949,59161,B06,OPP BLK 201,1.274004625,103.9929504
36127.6401,33338.0691,83029,B06,BEF JAMIYAH HOME,1.342999593,103.8812844
20758.4377,35733.8209,42229,B05,AFT TOH TUCK TERR,1.20400549,103.9028079
28127.3331,34233.2467,51099,B03,CATHOLIC JC,1.270647499,103.8893265
32252.0774,32763.81869,80101,B01,OPP BLK 2C,1.307950481,103.8761238
33165.7632,32206.8939,80149,B05,MOUNTBATTEN VOC SCH,1.316213612,103.8711197
19842.6315,32442.3009,17079,B12,BLK 512,1.195723854,103.8732331
30020.7797,35127.0015,52269,B04,BLK 73,1.287770968,103.8973576
15303.7935,35610.9785,21611,B11,BLK 367,1.154675626,103.9017029
38165.89142,34597.69956,84369,B03,BLK 45,1.361432553,103.8926033
32438.01511,32754.83979,80051,B03,AFT LOR 1 GEYLANG,1.309632037,103.8760431
39711.9276,40472.9745,77251,B19,BLK 713,1.375412438,103.9453972
23518.7059,34206.9982,11349,B05,OPP GARLICK VILLE,1.228968705,103.8890897
14946.0913,35812.5805,21211,B09,OPP LAKEPOINT CONDO,1.151440648,103.9035142
16004.1334,37162.656,28571,B02,BET BLK 415,1.161008882,103.9156449
22299.8665,32423.4722,19029,B06,OPP SP SMA,1.217946235,103.8730642
17454.53199,35192.159,28439,B124,BLK 124,1.174126244,103.8979403
25408.1915,49346.5487,47819,B11,OPP WOODLANDS SUNNY FOOD,1.246050116,104.0251226
19993.0885,43713.1744,45181,B30,OPP MANDAI CD TRG VILLAGE,1.19708117,103.9745029
7577.365597,34938.2513,25119,B12,SIN HIAP CHUAN HARDWARE,1.08480062,103.895657
23097.8016,47362.6934,46451,B08,OPP BLK 872,1.225157095,104.0072959
29513.565,37398.132,53391,B01,OPP BLK 203,1.283183303,103.9177644
41783.7191,39142.6305,78071,B02,BLK 446,1.394149484,103.9334439
21544.3542,38650.4521,44369,NIL,AFT DAIRY FARM RD,1.211112239,103.9290144
13580.36214,34534.4698,22281,B01,AFT SOON LEE RD,1.139089727,103.8920302
39255.6574,37269.3709,75169,B04,OPP BLK 853,1.371287283,103.9166104
25969.7557,30144.4745,10421,B06,BLK 63B,1.251135662,103.8525873
32623.6072,34273.5204,70349,B01,BEF LOR BAKAR BATU,1.311310195,103.8896892
27362.2981,40115.0082,56041,B25,OPP GREEN MEADOWS CONDO,1.263727106,103.9421758
32262.4114,36558.3425,62121,B11,AFT WOLSKEL RD,1.30804312,103.9102194
27306.9464,35939.2408,40261,B03,LP 52,1.263227834,103.9046552
35030.237,31256.6943,91121,NIL,HSE 189,1.333075367,103.8625818
18063.9535,39826.1514,44091,B06,OPP FORMER KEAT HONG CAMP,1.179636353,103.939577
39588.52223,32974.12465,94029,B10,EAST COAST VILLE,1.374298631,103.8780147
42584.73585,40140.74804,78279,NIL,OPP LOYANG TOWNHOUSE,1.401393177,103.9424131
35981.60572,31675.41611,92041,B01,OPP PARKWAY PARADE,1.341679159,103.8663444
30732.284,30625.3888,2151,B04,SUNTEC CONVENTION CTR,1.294206262,103.8569088
16864.1897,36072.1591,28349,B16,OPP CHINESE GDN STN,1.1687872,103.905847
20057.6141,37860.5875,43309,B01,HILLBROOKS,1.197666933,103.9219169
31627.6169,32954.9471,60059,B01,BEF KALLANG PL,1.302303052,103.877841
7778.878199,35205.2588,25221,B41,RAFFLES COUNTRY CLUB,1.08662298,103.8980561
35524.5969,38301.8618,64221,B09,AFT FISH FARM RD 1,1.337544601,103.9258868
22129.3095,46827.9953,46191,B02,BLK 7,1.216398736,104.002491
35478.5528,34326.9761,71111,B03,BLK 343,1.337129289,103.8901701
35094.4245,34564.8399,71149,B05,BLK 3024,1.33365532,103.8923074
43678.569,39756.5,98149,B06,WACKER CHEMICALS,1.411285553,103.9389608
33575.8779,31947.9584,80279,B05,BLK 2,1.319922578,103.868793
13634.63525,39378.36898,31171,B30,,1.139579331,103.9355522
28300.1143,36045.9012,51071,B21,MACRITCHIE RESERVOIR,1.272209663,103.9056138
42217.1469,37133.314,76449,B03,BLK 343,1.398069948,103.9153888
20513.7443,40634.8548,44671,B03,BET BLKS 502/503,1.201791085,103.9468441
44180.0707,40055.8094,98079,B14,BEF SIA ENGINE TEST CTR,1.415820821,103.9416505
43030.5495,38809.651,98039,B06,BEF NEW LOYANG LINK,1.405425479,103.9304523
28395.7367,37451.679,53189,B04,BLK 25,1.273074051,103.9182452
12864.9441,36835.7716,27431,B08,BLK 762,1.132619238,103.912707
18459.1738,40134.5032,44441,B04,BLK 239,1.183210475,103.9423477
31925.3104,40077.3614,66451,B06,AFT ANG MO KIO IND PK 2,1.304993328,103.9418393
35187.97806,35389.93301,71071,B06,OPP COMFORT DRIVING CENTRE,1.334501195,103.8997214
32354.8461,42405.6889,68059,B12,AFT TPE,1.308876892,103.9627605
14550.0802,36631.8746,21431,B01,BLK 210,1.14785907,103.9108755
30834.2105,36188.8562,52061,B08,BCA ACADEMY,1.295127085,103.906899
12370.3988,36429.2948,27419,B04,BLK 828A,1.128146841,103.9090548
30501.3145,31035.3331,1631,B01,AFT BEACH RD,1.292117418,103.8605923
34632.1086,39600.722,64371,B01,OPP PUNGGOL CC,1.329472796,103.9375575
19037.3409,31534.7015,29089,B07,SWANSON PLASTICS,1.188441191,103.8650781
