school_name,school_category,school_type,school_nature,school_area,school_address,school_postal_code,lat,long
Punggol Cove Primary School,primary_school,Government School,Co-Ed School,Punggol,52 Sumang Walk,828674,1.41159891873965,103.898804620697
Punggol Green Primary School,primary_school,Government School,Co-Ed School,Punggol,98 Punggol Walk,828772,1.40187220643297,103.898801330302
Punggol Primary School,primary_school,Government School,Co-Ed School,Hougang,61 Hougang Avenue 8,538787,1.37779451245844,103.894506933396
Punggol View Primary School,primary_school,Government School,Co-Ed School,Punggol,9 Punggol Place,828845,1.40514582647964,103.905156371376
Qifa Primary School,primary_school,Government School,Co-Ed School,Clementi,50 West Coast Avenue,128104,1.31325147892085,103.756743208641
Qihua Primary School,primary_school,Government School,Co-Ed School,Woodlands,5 Woodlands Street 81,738525,1.44203596612333,103.788339756898
Queenstown Primary School,primary_school,Government School,Co-Ed School,Queenstown,310 Margaret Dr,149303,1.29559365009016,103.807548617332
Radin Mas Primary School,primary_school,Government School,Co-Ed School,Bukit Merah,1 Bukit Purmei Avenue,099840,1.27495823622639,103.824188270373
Raffles Girls&#8217; Primary School,primary_school,Government School,Girls' School,Bukit Timah,21 Hillcrest Road,289072,1.32940426000123,103.806442915912
Red Swastika School,primary_school,Government-Aided School,Co-Ed School,Bedok,350 Bedok North Avenue 3,469719,1.33324297847733,103.934332314404
River Valley Primary School,primary_school,Government School,Co-Ed School,Central,2 River Valley Green,237993,1.29422328461692,103.835815165829
Riverside Primary School,primary_school,Government School,Co-Ed School,Woodlands,110 Woodlands Crescent,737803,1.44704734253722,103.801831963297
Rivervale Primary School,primary_school,Government School,Co-Ed School,Sengkang,80 Rivervale Drive,545092,1.39340997767763,103.904559511997
Rosyth School,primary_school,Government School,Co-Ed School,Serangoon,21 Serangoon North Avenue 4,555855,1.37289067499066,103.875001549174
Rulang Primary School,primary_school,Government School,Co-Ed School,Jurong West,6 Jurong West Street 52,649295,1.34673868889098,103.718457955487
Sembawang Primary School,primary_school,Government School,Co-Ed School,Sembawang,10 Sembawang Drive,757715,1.44507371552624,103.821042374036
Seng Kang Primary School,primary_school,Government School,Co-Ed School,Sengkang,21 Compassvale Walk,545166,1.38949740395092,103.899767112047
Sengkang Green Primary School,primary_school,Government School,Co-Ed School,Sengkang,15 Fernvale Road,797636,1.39284606680479,103.875217666486
Shuqun Primary School,primary_school,Government School,Co-Ed School,Jurong West,8 Jurong West Street 51,649332,1.34765311431636,103.721523713379
Si Ling Primary School,primary_school,Government School,Co-Ed School,Woodlands,61 Woodlands Avenue 1,739067,1.43240935732527,103.786035065192
Singapore Chinese Girls&#8217; School (Primary),primary_school,Government-Aided School,Girls' School,Novena,190 Dunearn Road,309437,1.3203941615946,103.82994776728
South View Primary School,primary_school,Government School,Co-Ed School,Choa Chu Kang,6 Choa Chu Kang Central,689762,1.38166664389752,103.746275846011
Springdale Primary School,primary_school,Government School,Co-Ed School,Sengkang,71 Anchorvale Link,544799,1.39467010299297,103.889926221247
St. Andrew&#8217;s Junior School,primary_school,Government-Aided School,Boys' School,Toa Payoh,2 Francis Thomas Drive,359337,1.33140255308872,103.865117134385
St. Anthony&#8217;s Canossian Primary School,primary_school,Government-Aided School,Girls' School,Bedok,1602 Bedok North Ave 4,469701,1.33472537301892,103.941234868202
St. Anthony&#8217;s Primary School,primary_school,Government-Aided School,Co-Ed School,Bukit Batok,30 Bukit Batok St 32,659401,1.36411948475835,103.749251919049
St. Gabriel&#8217;s Primary School,primary_school,Government-Aided School,Boys' School,Serangoon,220 Lorong Chuan,556742,1.34947192653863,103.862561037707
St. Hilda&#8217;s Primary School,primary_school,Government-Aided School,Co-Ed School,Tampines,2 Tampines Ave 3,529706,1.34934994368498,103.937920511812
St. Joseph&#8217;s Institution Junior,primary_school,Government-Aided School,Boys' School,Novena,3 Essex Road,309331,1.31772860986917,103.845611935235
St. Margaret&#8217;s Primary School,primary_school,Government-Aided School,Girls' School,Central,99 Wilkie Road,228091,1.30378845667471,103.846251114072
St. Stephen&#8217;s School,primary_school,Government-Aided School,Boys' School,Bedok,20 Siglap View,455789,1.31878997295137,103.917258129598
Stamford Primary School,primary_school,Government School,Co-Ed School,Central,1 Victoria Lane,198423,1.3034563846745,103.857453500579
Tampines North Primary School,primary_school,Government School,Co-Ed School,Tampines,30 Tampines Avenue 9,529565,1.36047641484685,103.948725782833
Tampines Primary School,primary_school,Government School,Co-Ed School,Tampines,250 Tampines Street 12,529426,1.34977870805929,103.944004684986
Tanjong Katong Primary School,primary_school,Government School,Co-Ed School,Marine Parade,10 Seraya Road,437259,,
Tao Nan School,primary_school,Government-Aided School,Co-Ed School,Marine Parade,49 Marine Crescent,449761,1.30528528687323,103.911553152326
Teck Ghee Primary School,primary_school,Government School,Co-Ed School,Ang Mo Kio,1 Ang Mo Kio Street 32,569299,1.36558782075971,103.850957126982
Teck Whye Primary School,primary_school,Government School,Co-Ed School,Choa Chu Kang,11 Teck Whye Walk,688261,1.38364996834459,103.753291857016
Telok Kurau Primary School,primary_school,Government School,Co-Ed School,Bedok,50 Bedok Reservoir Rd,479239,1.3310458544135,103.910934011337
Temasek Primary School,primary_school,Government School,Co-Ed School,Bedok,501 Bedok South Ave 3,469300,1.31770677551335,103.945590669163
Townsville Primary School,primary_school,Government School,Co-Ed School,Ang Mo Kio,3 Ang Mo Kio Ave 10,569730,1.36003263719251,103.853826048328
Unity Primary School,primary_school,Government School,Co-Ed School,Choa Chu Kang,21 Choa Chu Kang Crescent,688268,1.40285481877249,103.746822625758
Valour Primary School,primary_school,Government School,Co-Ed School,Punggol,49 Punggol Central,828728,,
Waterway Primary School,primary_school,Government School,Co-Ed School,Punggol,70 Punggol Drive,828802,1.3988280062658,103.918621581556
Wellington Primary School,primary_school,Government School,Co-Ed School,Sembawang,10 Wellington Circle,757702,1.45191585783116,103.82230605577
West Grove Primary School,primary_school,Government School,Co-Ed School,Jurong West,1 Jurong West St 72,649223,1.34487905600144,103.699286360581
West Spring Primary School,primary_school,Government School,Co-Ed School,Bukit Panjang,60 Bukit Panjang Ring Road,679946,1.38944145898946,103.766195711835
West View Primary School,primary_school,Government School,Co-Ed School,Bukit Panjang,31 Senja Road,677742,1.38367582003361,103.760240434318
Westwood Primary School,primary_school,Government School,Co-Ed School,Jurong West,1 Jurong West Street 73,649188,1.34718456606377,103.70053420978
White Sands Primary School,primary_school,Government School,Co-Ed School,Pasir Ris,2 Pasir Ris St 11,519075,1.36555714668556,103.960918869319
Woodgrove Primary School,primary_school,Government School,Co-Ed School,Woodlands,2 Woodlands Drive 14,738079,1.43310340168969,103.790604437613
