name,full_address,status,lat,long
Rail Mall,Rail Mall Singapore,True,1.3580497459999998,103.7679043
Sunshine Place,Sunshine Place Singapore,True,1.3004710720000001,103.8506873
Teck Whye Shopping Centre,Teck Whye Shopping Centre Singapore,True,1.380047726,103.7524646
West Mall,West Mall Singapore,True,1.3502968359999998,103.74906419999999
Yew Tee Point,Yew Tee Point Singapore,True,1.3970843240000002,103.74659799999999
Yew Tee Shopping Centre,Yew Tee Shopping Centre Singapore,False,,
Yew Tee Square,Yew Tee Square Singapore,True,1.3983213490000002,103.7473449
Keat Hong Shopping Centre,Keat Hong Shopping Centre Singapore,True,1.377439635,103.7443832
KKH The Retail Mall,KKH The Retail Mall Singapore,False,,
321 Clementi,321 Clementi Singapore,True,1.3120249179999999,103.7649605
The Clementi Mall,The Clementi Mall Singapore,True,1.315496754,103.76457020000001
IMM,IMM Singapore,True,1.302050075,103.7937213
JCube,JCube Singapore,True,1.333330403,103.7401672
Jem,Jem Singapore,True,1.333054519,103.74343370000001
Westgate,Westgate Singapore,True,1.33428313,103.74287009999999
Jurong Point,Jurong Point Singapore,True,1.339452004,103.706685
Pioneer Mall,Pioneer Mall Singapore,True,1.341673319,103.6972445
The Star Vista,The Star Vista Singapore,True,1.306815007,103.7884627
Alexandra Central,Alexandra Central Singapore,True,1.287456124,103.8054147
Anchorpoint,Anchorpoint Singapore,True,1.289011589,103.80533100000001
Big Box,Big Box Singapore,True,1.331832698,103.7448792
OD Mall,OD Mall Singapore,False,,
Boon Lay Shopping Centre,Boon Lay Shopping Centre Singapore,True,1.346373764,103.7124728
Grantral Mall,Grantral Mall Singapore,True,1.333722109,103.8875308
Fairprice Hub,Fairprice Hub Singapore,True,1.325617678,103.6784097
Gek Poh Shopping Centre,Gek Poh Shopping Centre Singapore,True,1.3487440030000002,103.6982988
Rochester Mall,Rochester Mall Singapore,True,1.3054076559999999,103.78844670000001
Taman Jurong Shopping Centre,Taman Jurong Shopping Centre Singapore,True,1.334844875,103.720462
West Coast Plaza,West Coast Plaza Singapore,True,1.303742583,103.7660929
Queensway Shopping Centre,Queensway Shopping Centre Singapore,True,1.287617926,103.8033911
